序號,用戶名稱
1,士林電機廠股份有限公司(仰德大樓)
2,大葉高島屋百貨股份有限公司
3,中國文化大學
4,中鼎工程股份有限公司
5,中鼎工程股份有限公司
6,太平洋崇光百貨股份有限公司天母分公司
7,台北美國學校
8,光華巴士股份有限公司
9,東吳大學(雙溪校區)
10,法官學院
11,財團法人台北歐洲學校
12,國立故宮博物院(北部院區)
13,國立傳統藝術中心
14,國立臺灣科學教育館
15,國防部衡山管理隊
16,順來營造股份有限公司
17,新光三越百貨股份有限公司台北天母分公司
18,新光三越百貨股份有限公司台北天母分公司二館
19,新光醫療財團法人新光吳火獅紀念醫院
20,臺北大眾捷運股份有限公司(臺北市立兒童新樂園)
21,臺北市立大學(天母校區)
22,臺北市立天文科學教育館
23,臺北市立聯合醫院(陽明院區)
24,臺北表演藝術中心
25,銘傳大學(台北校區)
26,劍潭海外青年活動中心
27,京站實業股份有限公司(京站時尚廣場)
28,家福股份有限公司重慶分公司
29,財政部關務署
30,雲品國際酒店股份有限公司台北分公司(台北君品酒店)
31,臺北市市場處（士東市場）
32,臺北市立聯合醫院(中興院區)
33,臺北市政府工務局衛生下水道工程處(迪化污水處理廠)
34,臺灣銀行股份有限公司資訊大樓
35,大陸工程股份有限公司
36,中央百世大樓管理委員會
37,中華郵政股份有限公司
38,中華郵政股份有限公司(金山大樓)
39,中華郵政股份有限公司(愛國大樓前棟)
40,中華郵政股份有限公司(愛國大樓後棟)
41,中華郵政股份有限公司臺北郵件處理中心
42,中華電信股份有限公司台北營運處(東三機房大樓)
43,中華電信股份有限公司台北營運處(南一機房)
44,中華電信股份有限公司資訊技術分公司
45,中華電信股份有限公司網路技術分公司(行通大樓)
46,中華電視股份有限公司(光復大樓)
47,中華電視股份有限公司(華視大樓)
48,太平洋崇光百貨股份有限公司
49,太平洋崇光百貨股份有限公司敦化分公司
50,太平洋崇光百貨股份有限公司復興分公司
51,世貿大樓管理委員會
52,台新金控大樓管理委員會
53,芙蓉大樓管理委員會
54,忠興開發股份有限公司
55,明曜百貨股份有限公司
56,空軍作戰指揮部
57,科技大樓管理會管理小組
58,時代通商廣場大樓管理委員會
59,財團法人台北市私立復興國民中小學
60,國立台灣師範大學附屬高級中學
61,國立政治大學
62,國立臺北科技大學
63,國立臺北教育大學
64,國立臺灣大學
65,國立臺灣大學
66,國立臺灣大學醫學院附設醫院癌醫中心分院
67,國立臺灣科技大學
68,國立臺灣師範大學(校本部校區)
69,國立臺灣師範大學(圖書館校區)
70,國立臺灣師範大學(學一舍校區)
71,國泰人壽保險股份有限公司
72,國泰人壽保險股份有限公司(台北國際大樓)
73,國泰人壽保險股份有限公司(敦南財經大樓)
74,國泰人壽保險股份有限公司(敦南商業大樓)
75,國泰人壽保險股份有限公司總公司
76,國泰醫療財團法人國泰綜合醫院
77,敦南大樓管理委員會
78,統領百貨股份有限公司
79,鼎鼎大飯店股份有限公司
80,遠鼎股份有限公司(商場)
81,遠鼎股份有限公司(辦公大樓)
82,福華大飯店股份有限公司(台北福華大飯店)
83,福華大飯店股份有限公司人力學院新生南營業所
84,臺北市立大安高級工業職業學校
85,臺北市和平實驗國民小學(籃球館)
86,臺北市聯合醫院(仁愛院區)
87,臺灣土地銀行股份有限公司(和平大樓)
88,潤泰金融大樓管理委員會
89,衛生福利部中央健康保險署(信義大樓)
90,八德大樓管理委員會
91,大日開發有限公司(大日基隆東岸停車場)
92,大同大學
93,中華電信股份有限公司台北營運處(北一機房)
94,中崙大樓管理委員會
95,中影股份有限公司
96,友邦有限公司(聯邦商業大樓管理委員會)
97,台北農產運銷股份有限公司
98,台灣水泥股份有限公司(台泥大樓)
99,台灣肥料股份有限公司
100,台灣肥料股份有限公司
101,民生建國大樓管理委員會
102,玉山商業銀行股份有限公司(人力資源暨資訊大樓)
103,兆豐國際商業銀行受託國泰二號不動產投資信託基金(民生商業大樓)
104,全球人壽保險股份有限公司
105,全聯實業股份有限公司
106,吸引力生活事業股份有限公司
107,志清大樓管理委員會
108,佳佳廣場管理委員會
109,典華婚訂資源整合股份有限公司(大直典華)
110,宜華國際股份有限公司(台北萬豪酒店)
111,建北大樓公寓大廈管理負責人
112,欣欣大眾市場股份有限公司(前館)
113,長鴻榮實業股份有限公司(大倉久和大飯店)
114,南山人壽保險股份有限公司(民權大樓)
115,南山民生大樓管理負責人
116,春暉新世界東光自治區管理委員會
117,美福飯店管理顧問股份有限公司(台北美福大飯店)
118,美麗信酒店股份有限公司
119,美麗華城市發展股份有限公司(美麗華百樂園)
120,時代金融廣場大樓管理委員會
121,財團法人臺北市會展產業發展基金會
122,馬偕紀念醫院
123,國防部空軍司令部
124,國防部政務辦公室
125,國防部海軍司令部
126,國防部憲兵指揮部忠貞營區
127,國泰飯店管理顧問事業股份有限公司民生建國分公司(台北國泰萬怡酒店)
128,國際商業大樓管理處
129,捷福旅館管理顧問股份有限公司
130,凱基證券股份有限公司(凱基金融大樓)
131,富邦人壽保險股份有限公司
132,富邦人壽保險股份有限公司
133,晶華國際酒店股份有限公司
134,圓山大飯店
135,新光三越百貨股份有限公司台北南西分公司
136,新光三越百貨股份有限公司台北南西分公司三館
137,新光中山大樓管理負責人
138,誠品生活股份有限公司南西分公司
139,嘉新資產管理開發股份有限公司(嘉新大樓)
140,實踐大學
141,彰化商業銀行股份有限公司(台北大樓)
142,維春商業開發股份有限公司樂群分公司
143,臺北市政府捷運工程局
144,潤泰創新國際股份有限公司中崙分公司(大潤發中崙店)
145,三創數位股份有限公司
146,中央保險大樓管理委員會
147,中央銀行
148,中央聯合辦公大樓北棟管理小組
149,中央聯合辦公大樓南棟管理小組
150,中華郵政股份有限公司臺北郵局
151,中華電信股份有限公司個人家庭分公司
152,中華電信股份有限公司個人家庭分公司
153,中華電信股份有限公司個人家庭分公司(仁愛綜合大樓)
154,中華電信股份有限公司國際電信分公司
155,中華電信股份有限公司網路技術分公司(台中數據通信大樓)
156,中華電信股份有限公司數據通信分公司(東七大樓)
157,中華電信股份有限公司數據通信分公司(板橋IDC暨雲端資料中心)
158,世界貿易大樓管理處
159,台北市水源大廈管理委員會
160,台灣文創發展股份有限公司
161,台灣台北地方法院
162,台灣創新發展股份有限公司(新天堂樂園)
163,台灣電力股份有限公司
164,台灣糖業股份有限公司休閒遊憩事業部台糖台北會館
165,外交部
166,立法院
167,交通部
168,交通部中央氣象局
169,交通部臺灣鐵路管理局(內惟火車站)
170,交通部臺灣鐵路管理局(臺北車站)
171,仰德大樓管理委員會
172,仰德大樓管理委員會
173,仰德大樓管理委員會
174,全球人壽保險股份有限公司
175,行政院農業委員會
176,亞洲廣場大樓管理委員會
177,保證責任臺北市台北地下街場地利用合作社
178,保證責任臺北市站前地下街場地利用合作社
179,信誼企業股份有限公司(信誼大樓)
180,海華金融中心大樓管理負責人
181,華南商業銀行股份有限公司電腦中心
182,財團法人張榮發基金會
183,國立中正紀念堂管理處
184,國立台灣大學醫學院附設醫院(西址)
185,國立台灣大學醫學院附設醫院(兒童醫療大樓)
186,國立台灣大學醫學院附設醫院(東址)
187,國立臺北商業大學
188,國立臺灣大學公共衛生學院
189,國防部全民防衛動員署後備指揮部
190,國防醫學院三軍總醫院汀州院區
191,國家表演藝術中心國家兩廳院
192,國家圖書館
193,國裕開發股份有限公司(台北凱撒飯店)
194,崇聖大樓管理委員會
195,第一商業銀行股份有限公司(總行大樓)
196,寒舍餐旅管理顧問股份有限公司(台北喜來登大飯店)
197,萬源紡織股份有限公司
198,微風場站開發股份有限公司
199,新光人壽保險股份有限公司(摩天大樓)
200,誠品生活股份有限公司站前店(台北車站地下街K區)
201,遠東百貨股份有限公司台北分公司
202,嘉里大榮物流股份有限公司
203,臺北市立大學(博愛校區)
204,臺北市立建國高級中學
205,臺北市立第一女子高級中學
206,臺北市立聯合醫院(和平院區)
207,臺北市青少年發展處
208,臺灣銀行股份有限公司
209,醒吾大樓管理委員會
210,錢櫃企業股份有限公司台北西門分公司
211,八大電視股份有限公司
212,三立電視股份有限公司
213,大潤發流通事業股份有限公司南湖分公司
214,中華賓士汽車股份有限公司內湖營業所
215,中國信託商業銀行股份有限公司(中國信託科技大樓)
216,中國時報文化事業股份有限公司內湖廠(中天電視民權大樓)
217,仁寶電腦工業股份有限公司
218,台北花卉產銷股份有限公司
219,台北富邦商業銀行股份有限公司(富邦內湖大樓)
220,台新國際商業銀行股份有限公司(內湖大樓)
221,台灣固網股份有限公司
222,台灣固網股份有限公司
223,台灣特斯拉汽車有限公司
224,交通部高速公路局北區養護工程分局(雪山隧道行控中心)
225,交通部高速公路局北區養護工程分局(關西工務段)
226,光寶科技股份有限公司(光寶科技大樓)
227,好市多股份有限公司內湖分公司
228,宏匯瑞光股份有限公司
229,和宇寬頻網路股份有限公司
230,宜家家居股份有限公司
231,昇恆昌股份有限公司(昇恆昌免稅廣場)
232,勇軒有限公司
233,是方電訊股份有限公司(宏鼎大樓)
234,是方電訊股份有限公司(麗源大樓)
235,家福股份有限公司內湖分公司
236,特力股份有限公司
237,財金資訊股份有限公司
238,財團法人公共電視文化事業基金會
239,國防醫學院三軍總醫院
240,國泰人壽保險股份有限公司(資訊大樓)
241,康寧醫療財團法人康寧醫院
242,富邦媒體科技股份有限公司(momo北區物流中心)
243,富邦媒體科技股份有限公司(富邦momo大樓)
244,新世紀資通股份有限公司
245,新世紀資通股份有限公司(內湖大樓)
246,臺北市政府工務局衛生下水道工程處(內湖污水處理廠)
247,領航電信股份有限公司
248,精英電腦股份有限公司
249,德明財經科技大學
250,潤泰建設股份有限公司(CITYLINK內湖店)
251,數位通國際網路股份有限公司
252,燦坤實業股份有限公司(3C流通事業總部)
253,中國科技大學(台北校區)
254,世新大學
255,台北市私立再興高級中學
256,台灣警察專科學校
257,交通部高速公路局北區養護工程分局(木柵工務段)
258,財政部
259,財團法人臺北市私立靜心國民中小學
260,國立政治大學
261,國立臺灣師範大學
262,國立臺灣師範大學(公館校區)
263,臺北市立動物園
264,臺北市立萬芳醫院(委託財團法人臺北醫學大學辦理)
265,台北市私立薇閣高級中學
266,好市多股份有限公司北投分公司
267,城市學校財團法人臺北城市科技大學
268,家福股份有限公司台北樹林分公司
269,家福股份有限公司成功分公司
270,家福股份有限公司新屏分公司
271,振興醫療財團法人振興醫院
272,華碩電腦股份有限公司
273,華碩電腦股份有限公司
274,華碩電腦股份有限公司
275,財團法人慈濟傳播人文志業基金會(慈濟人文志業中心)
276,國立陽明交通大學
277,國立臺北藝術大學
278,國立臺北護理健康大學
279,國立臺北護理健康大學
280,國防大學政治作戰學院
281,國防醫學院三軍總醫院北投分院
282,新光產物保險股份有限公司(北投大樓)
283,臺北大眾捷運股份有限公司(中和新蘆線)
284,臺北大眾捷運股份有限公司(文湖線)
285,臺北大眾捷運股份有限公司(東區地下街)
286,臺北大眾捷運股份有限公司(松山新店線)
287,臺北大眾捷運股份有限公司(板南線)
288,臺北大眾捷運股份有限公司(淡水信義線)
289,臺北市立關渡醫院(委託臺北榮民總醫院經營)
290,臺北榮民總醫院
291,優力國際安全認證有限公司
292,醫療財團法人辜公亮基金會和信治癌中心醫院
293,大台北區瓦斯股份有限公司(台北瓦斯網路科技大樓)
294,"大台北區瓦斯股份有限公司(光復大樓,八德大樓)"
295,中華開發金控總部管理負責人
296,中國人壽敦北大樓管理委員會
297,元大證券股份有限公司(元大金控大樓)
298,廿一世紀辦公大樓管理委員會
299,仙妮蕾德餐旅管理有限公司(茹曦酒店)
300,兄弟大飯店股份有限公司
301,台塑大樓管理委員會(台塑大樓)
302,台塑大樓管理委員會(明志大樓)
303,玉山商業銀行股份有限公司(玉山金融大樓)
304,交通部民用航空局臺北國際航空站
305,交通部民用航空局臺北國際航空站
306,仲量聯行公寓大廈管理維護股份有限公司
307,兆豐國際商業銀行受託國泰二號不動產投資信託基金(國泰世界大樓)
308,全億建設股份有限公司
309,合作金庫商業銀行股份有限公司
310,宏邑開發股份有限公司(宏國大樓)
311,宏璟建設股份有限公司(日月光廣場)
312,空軍松山基地指揮部
313,長庚醫療財團法人台北長庚紀念醫院
314,南山敦南大樓管理委員會
315,食祿軒餐廳股份有限公司慶城分公司
316,家福股份有限公司三民分公司
317,財團法人資訊工業策進會數位服務創新研究所
318,財團法人臺北市私立育達高級商業家事職業學校
319,國防醫學院三軍總醫院松山分院
320,國泰人壽保險股份有限公司(中央商業大樓)
321,基督復臨安息日會醫療財團法人臺安醫院
322,堉群實業股份有限公司(宏泰世界大樓)
323,開泰豐國際股份有限公司(台北文華東方酒店)
324,微風廣場實業股份有限公司
325,新光人壽保險股份有限公司
326,臺北大眾捷運股份有限公司(小巨蛋中心)
327,臺北市政府體育局
328,臺北市政府體育局(臺北市天母棒球場)
329,臺灣電視事業股份有限公司
330,潤泰百益股份有限公司(CITYLINK松山貳號店)
331,鴻構建設股份有限公司
332,三連大樓管理委員會
333,大統領經貿廣場管理委員會
334,中華民國對外貿易發展協會台北世貿中心展覽大樓
335,中華民國對外貿易發展協會台北國際會議中心
336,中華電信股份有限公司臺北營運處
337,內政部警政署刑事警察局
338,太平第一大樓管理委員會
339,台北世界貿易中心國際貿易大樓股份有限公司
340,台北金融大樓股份有限公司
341,台北金融大樓股份有限公司(購物中心)
342,台灣中油股份有限公司(中油大樓)
343,交通部臺灣鐵路管理局臺北運務段(松山車站)
344,全球人壽保險股份有限公司
345,全豐盛信義105大樓管理負責人
346,吸引力生活事業股份有限公司
347,建鑫開發股份有限公司
348,南山人壽保險股份有限公司
349,威秀影城股份有限公司信義分公司
350,時代國際飯店股份有限公司
351,華南商業銀行股份有限公司
352,華南商業銀行股份有限公司(世貿大樓)
353,華新麗華股份有限公司(華新麗華信義大樓)
354,財政部財政資訊中心
355,財團法人臺北醫學大學
356,財團法人臺北醫學大學
357,國泰人壽保險股份有限公司(信義經貿大樓)
358,國泰人壽保險股份有限公司(國泰金融中心大樓)
359,國泰人壽保險股份有限公司(國泰置地廣場)
360,康和國際大樓管理委員會
361,寒舍國際酒店股份有限公司
362,寒舍餐旅管理顧問股份有限公司信義分公司(台北寒舍艾美酒店)
363,統一百華股份有限公司台北分公司(統一時代百貨台北店)
364,統一國際大樓管理委員會
365,統一開發股份有限公司
366,微風置地股份有限公司松高分公司
367,微風置地股份有限公司信義分公司
368,微風置地股份有限公司南山分公司
369,新光人壽保險股份有限公司(新光信義金融大樓)
370,新光人壽保險股份有限公司(新光信義傑仕堡)
371,新光三越百貨股份有限公司台北信義分公司一館(A11)
372,新光三越百貨股份有限公司台北信義分公司二館(A8)
373,新光三越百貨股份有限公司台北信義分公司三館(A9)
374,新光三越百貨股份有限公司台北信義分公司四館(A4)
375,誠品生活股份有限公司松山分公司
376,誠品生活股份有限公司信義店
377,遠東百貨股份有限公司信義分公司(A13)
378,遠雄金融中心管理負責人
379,遠雄國際中心管理委員會
380,臺北文創大樓管理負責人
381,臺北市公共運輸處
382,臺北市市政大樓公共事務管理中心
383,臺北市立松山高級工農職業學校
384,臺北市立聯合醫院(松德院區)
385,臺北市政府文化局(松山文化創意園區)
386,臺北市議會
387,臺北南山廣場管理負責人
388,臺北醫學大學附設醫院
389,德兆建設股份有限公司
390,潤泰百益股份有限公司(CITYLINK松山壹號店)
391,震旦國際股份有限公司
392,震怡股份有限公司(bellativita購物中心)
393,環球世貿大樓管理委員會
394,鴻菖實業股份有限公司
395,鴻隆實業股份有限公司
396,豐隆大飯店股份有限公司(台北君悅酒店)
397,中央研究院
398,中央研究院轉譯創新研發中心
399,中華民國對外貿易發展協會(南港展覽館)
400,中華學校財團法人中華科技大學
401,中國信託商業銀行股份有限公司(中國信託金融園區(B、C棟))
402,中國信託商業銀行股份有限公司(中國信託金融園區)
403,中國電視事業股份有限公司
404,中國電視事業股份有限公司(第二辦公大樓)
405,六福開發股份有限公司南港分公司(台北六福萬怡酒店)
406,世正開發股份有限公司
407,世正開發股份有限公司
408,世康開發股份有限公司
409,台灣人壽保險股份有限公司
410,台灣高速鐵路股份有限公司(台中變電站)
411,台灣高速鐵路股份有限公司(左營變電站)
412,台灣高速鐵路股份有限公司(岡山變電站)
413,台灣高速鐵路股份有限公司(苗栗變電站)
414,台灣高速鐵路股份有限公司(南港站)
415,台灣高速鐵路股份有限公司(烏日基地變電站)
416,台灣高速鐵路股份有限公司(雲林變電站)
417,台灣高速鐵路股份有限公司(新營變電站)
418,台灣高速鐵路股份有限公司(楊梅變電站)
419,台灣高速鐵路股份有限公司(樹林變電站)
420,交通部臺灣鐵路管理局臺北運務段(南港車站)
421,南港軟體工業園區二期管理委員會
422,南港軟體工業園區管理委員會
423,財團法人中華民國對外貿易發展協會(南港展覽館2館)
424,財團法人生物技術開發中心
425,財團法人國家實驗研究院國家實驗動物中心
426,陸軍後勤指揮部
427,國防部軍備局生產製造中心第202廠(光華營區)
428,臺北市立南港高級工業職業學校
429,臺北市立聯合醫院(忠孝院區)
430,臺北流行音樂中心
431,潤泰旭展股份有限公司
432,潤泰旭展股份有限公司
433,潤泰旭展股份有限公司(CITYLINK南港店)
434,潤泰旭展股份有限公司(CITYLINK南港店)
435,潤泰百益股份有限公司
436,衛生福利部
437,衛生福利部食品藥物管理署
438,衛生福利部疾病管制署
439,聯華置產股份有限公司
440,中國時報文化事業股份有限公司(時報大樓)
441,交通部臺灣鐵路管理局運務處臺北運務段(萬華車站)
442,家福股份有限公司桂林分公司
443,財政部臺北國稅局
444,富邦人壽保險股份有限公司(富邦萬國商業大樓)
445,萬年商業大樓管理委員會
446,萬華企業股份有限公司(萬企育樂大樓)
447,誠品生活股份有限公司武昌第一分公司
448,臺北市市場處
449,臺北市萬華區行政中心管理委員會
450,馥裕商旅股份有限公司萬大分公司(台北凱達大飯店)
451,台灣電力股份有限公司大安變電所
452,臺北自來水事業處長興淨水場
453,大同股份有限公司(表裝中心)
454,臺北自來水事業處大同加壓站
455,臺北自來水事業處公館加壓站
456,臺北自來水事業處公館淨水場
457,創見資訊股份有限公司
458,臺北市政府環境保護局內湖垃圾焚化廠
459,鴻海精密工業股份有限公司
460,台灣電力股份有限公司輸變電工程處北區施工處
461,臺北市政府環境保護局木柵垃圾焚化廠
462,台灣森永製?股份有限公司北投工廠
463,正大纖維工業股份有限公司
464,北投垃圾焚化廠
465,和碩聯合科技股份有限公司
466,和碩聯合科技股份有限公司
467,康舒科技股份有限公司
468,臺北自來水事業處
469,臺北自來水事業處北投加壓站
470,興利開發股份有限公司
471,臺北自來水事業處
472,臺北自來水事業處松山加壓站
473,新加坡商惠普國際企業股份有限公司台灣分公司
